date,open,high,low,close,volume
2025-02-03,17122.73,17127.65,16900.36,16956.49,
2025-02-05,16956.49,16974.58,16440.74,16456.1,
2025-02-06,16456.1,16675.8,16295.31,16506.73,
2025-02-07,16506.73,16746.78,16506.38,16734.68,
2025-02-10,16734.68,16794.64,16537.98,16566.27,
2025-02-11,16566.27,16579.41,16304.99,16345.3,
2025-02-13,16345.3,16609.84,16307.98,16578.22,
2025-02-14,16578.22,16950.91,16577.77,16936.69,
2025-02-17,16936.69,17194.34,16936.11,17156.05,
2025-02-18,17156.05,17322.14,17152.98,17193.79,
2025-02-19,17193.79,17262.88,17059.0,17074.02,
2025-02-20,17074.02,17085.39,16829.19,16858.97,
2025-02-21,16858.97,17002.45,16847.27,16889.31,
2025-02-24,16889.31,16906.84,16648.38,16671.73,
2025-02-25,16671.72,16691.06,16338.96,16345.01,
2025-02-27,16345.01,16483.22,16321.35,16430.77,
2025-02-28,16430.77,16560.53,16430.6,16478.67,
2025-03-03,16478.68,16545.59,16163.26,16167.3,
2025-03-04,16167.3,16178.38,15870.25,15870.25,
2025-03-05,15870.25,16190.51,15866.18,16166.53,
2025-03-06,16166.53,16309.61,16107.83,16123.1,
2025-03-07,16123.1,16154.3,16080.87,16115.47,
2025-03-10,16115.47,16170.83,15990.76,16000.78,
2025-03-11,16000.78,16003.62,15710.57,15710.57,
2025-03-12,15710.58,15910.63,15629.09,15861.14,
2025-03-14,15861.14,16029.29,15852.97,15860.44,
2025-03-17,15860.44,15905.98,15646.12,15649.3,
2025-03-18,15649.3,15649.3,15386.92,15394.16,
2025-03-19,15394.16,15510.29,15391.75,15406.16,
2025-03-20,15406.16,15693.15,15404.45,15662.93,
2025-03-21,15662.93,15909.59,15659.93,15879.33,
2025-03-24,15879.33,15996.93,15846.3,15912.61,
2025-03-25,15912.61,15979.78,15901.31,15908.23,
2025-03-26,15908.23,15959.99,15842.17,15847.8,
2025-03-27,15847.8,15892.75,15847.64,15882.06,
2025-03-28,15882.06,15886.19,15798.35,15814.82,
2025-04-01,15814.8,15949.72,15696.44,15934.38,
2025-04-02,15934.38,16047.53,15934.15,16007.44,
2025-04-03,16007.44,16007.44,15644.61,15657.6,
2025-04-04,15657.6,15657.6,15280.47,15373.35,
2025-04-07,15373.35,15373.61,14570.34,14660.45,
2025-04-08,14660.45,15148.22,14660.45,15127.71,
2025-04-09,15127.71,15127.71,14836.09,14875.95,
2025-04-10,14875.95,15799.22,14875.95,15580.83,
2025-04-11,15580.83,15586.64,15446.18,15526.2,
2025-04-16,15526.2,15646.47,15525.35,15625.88,
2025-04-17,15625.88,15668.96,15567.57,15616.57,
2025-04-21,15616.57,15702.23,15595.29,15599.61,
2025-04-22,15599.61,15633.54,15524.3,15555.86,
2025-04-23,15555.86,15614.25,15543.42,15543.99,
2025-04-24,15543.99,15621.75,15543.91,15615.63,
2025-04-25,15615.63,15770.76,15614.59,15742.04,
2025-04-28,15742.04,15867.99,15741.77,15811.47,
2025-04-29,15811.47,15923.95,15809.75,15867.34,
2025-04-30,15867.34,15873.32,15799.53,15799.94,
2025-05-02,15799.94,15872.32,15796.82,15851.74,
2025-05-05,15851.74,15945.61,15851.74,15916.69,
2025-05-06,15916.69,15985.46,15916.69,15961.59,
2025-05-07,15961.59,15965.59,15833.11,15841.6,
