Window,Level,Name,N,Mean_CAR(%),Std_Dev(%),t-statistic,p-value,Significant_at_5%
"CAR(-5,-1)",Sector,Diversified Financials,38,5.52,34.68,0.982,0.3326,False
"CAR(-5,-1)",Sector,Insurance,12,-9.43,29.38,-1.111,0.2901,False
"CAR(-5,-1)",Sector,Consumer Durables,8,0.24,4.41,0.154,0.8819,False
"CAR(-5,-1)",Sector,Banks,13,6.58,16.46,1.441,0.175,False
"CAR(-5,-1)",Sector,Capital Goods,29,-0.8,6.7,-0.64,0.5275,False
"CAR(-5,-1)",Sector,Materials,21,-4.7,18.21,-1.183,0.2507,False
"CAR(-5,-1)",Sector,Food & Beverage,43,0.46,7.03,0.431,0.6685,False
"CAR(-5,-1)",Sector,Consumer Services,32,2.51,10.08,1.407,0.1693,False
"CAR(-5,-1)",Sector,Healthcare Equipment,8,-1.18,3.59,-0.928,0.3843,False
"CAR(-5,-1)",Sector,Real Estate,17,-2.34,5.57,-1.735,0.102,False
"CAR(-5,-1)",Sector,Retailing,14,-3.6,11.31,-1.19,0.2555,False
"CAR(-5,-1)",Sector,Household Products,2,-0.4,0.56,-1.0,0.5,False
"CAR(-5,-1)",Sector,Commercial Services,7,3.7,13.6,0.72,0.4985,False
"CAR(-5,-1)",Sector,Food Retailing,3,19.64,34.09,0.998,0.4233,False
"CAR(-5,-1)",Sector,Transportation,3,-4.53,2.81,-2.79,0.108,False
"CAR(-5,-1)",Sector,Telecommunication Services,2,-3.53,0.61,-8.191,0.0773,False
"CAR(-5,-1)",Sector,Software & Services,1,-1.26,,,,False
"CAR(-5,-1)",Sector,Utilities,7,9.26,14.88,1.646,0.1508,False
"CAR(-5,-1)",Sector,Energy,2,-1.54,1.18,-1.841,0.3168,False
"CAR(-5,-1)",Sector,Automobiles,1,1.42,,,,False
"CAR(-5,-1)",Market,ALL STOCKS,263,0.72,17.81,0.652,0.5152,False
"CAR(0,0)",Sector,Diversified Financials,38,-1.0,4.54,-1.355,0.1835,False
"CAR(0,0)",Sector,Insurance,12,-1.36,3.84,-1.229,0.2447,False
"CAR(0,0)",Sector,Consumer Durables,8,-0.25,2.53,-0.278,0.7888,False
"CAR(0,0)",Sector,Banks,13,-1.87,6.88,-0.983,0.3451,False
"CAR(0,0)",Sector,Capital Goods,28,-0.0,1.82,-0.001,0.999,False
"CAR(0,0)",Sector,Materials,20,-0.44,2.39,-0.818,0.4235,False
"CAR(0,0)",Sector,Food & Beverage,42,0.13,2.33,0.372,0.7116,False
"CAR(0,0)",Sector,Consumer Services,32,-0.56,2.69,-1.172,0.2501,False
"CAR(0,0)",Sector,Healthcare Equipment,8,1.04,2.21,1.335,0.2238,False
"CAR(0,0)",Sector,Real Estate,16,-0.22,1.79,-0.487,0.6332,False
"CAR(0,0)",Sector,Retailing,14,1.48,7.25,0.766,0.4573,False
"CAR(0,0)",Sector,Household Products,1,-0.08,,,,False
"CAR(0,0)",Sector,Commercial Services,6,-2.35,5.87,-0.982,0.3713,False
"CAR(0,0)",Sector,Food Retailing,3,3.24,6.21,0.904,0.4612,False
"CAR(0,0)",Sector,Transportation,3,-1.21,1.41,-1.487,0.2755,False
"CAR(0,0)",Sector,Telecommunication Services,2,0.36,3.79,0.135,0.9148,False
"CAR(0,0)",Sector,Software & Services,1,0.06,,,,False
"CAR(0,0)",Sector,Utilities,7,-0.61,1.85,-0.874,0.4155,False
"CAR(0,0)",Sector,Energy,2,-8.22,11.7,-0.994,0.502,False
"CAR(0,0)",Sector,Automobiles,1,0.16,,,,False
"CAR(0,0)",Market,ALL STOCKS,257,-0.4,3.8,-1.704,0.0896,False
"CAR(0,+5)",Sector,Diversified Financials,38,4.8,34.4,0.86,0.3953,False
"CAR(0,+5)",Sector,Insurance,12,-19.54,51.8,-1.307,0.218,False
"CAR(0,+5)",Sector,Consumer Durables,8,0.65,3.14,0.588,0.5753,False
"CAR(0,+5)",Sector,Banks,13,12.31,37.15,1.194,0.2554,False
"CAR(0,+5)",Sector,Capital Goods,29,2.5,16.58,0.813,0.4233,False
"CAR(0,+5)",Sector,Materials,21,-3.48,31.77,-0.502,0.6208,False
"CAR(0,+5)",Sector,Food & Beverage,43,1.49,15.84,0.619,0.5395,False
"CAR(0,+5)",Sector,Consumer Services,32,0.11,23.05,0.027,0.9789,False
"CAR(0,+5)",Sector,Healthcare Equipment,8,-1.18,10.45,-0.319,0.7588,False
"CAR(0,+5)",Sector,Real Estate,17,-2.47,7.12,-1.429,0.1721,False
"CAR(0,+5)",Sector,Retailing,14,-3.83,9.41,-1.525,0.1513,False
