Name,"Pre-Event [-5,-1]","Early anticipation [-5,-3]","Late anticipation  [-2,-1]","Landfall day       [0,0]","Acute shock        [0,+2]","Immediate aftermath[0,+5]","Short recovery     [+6,+10]","Mid recovery      [+11,+20]","Late recovery     [+21,+30]","Full recovery     [-5,+30]"
Automobiles,1.3977,0.3737,1.024,-0.0594,-0.4506,-0.8832,-0.897,-0.2295,0.4971,-0.1149
Banks,-0.8962,-0.8377,-0.0586,-0.0164,-0.2988,-0.666,-1.7231,1.2342,-0.0967,-2.1478
Capital Goods,-0.4435,-0.3663,-0.0772,0.0745,1.4566,2.2294,1.5592,-1.2096,-1.4831,0.5946
Commercial Services,-2.8875,-2.4901,-0.3975,-0.601,4.3787,-0.3044,0.193,-4.1788,19.0496,11.8719
Consumer Durables,-0.9678,-1.2982,0.3304,-0.2605,0.5183,-0.7431,-1.3079,3.6541,2.7583,3.3936
Consumer Services,1.8651,2.1618,-0.2968,-0.7606,-6.3817,-6.7485,-1.221,2.0873,-5.2682,-9.2853
Diversified Financials,-0.8895,-1.1705,0.2809,-0.5027,-1.1975,-2.7378,-0.0948,-1.4863,-1.1143,-6.3229
Energy,-6.1897,-3.7379,-2.4518,-1.1642,-5.4284,-9.4843,6.7337,-5.8235,-3.1624,-17.9262
Food & Beverage,0.9547,1.0268,-0.0721,-0.4032,-2.4356,-3.2535,1.9861,1.1095,1.7915,2.5882
Healthcare Equipment,-0.7698,-0.6393,-0.1305,0.2507,1.4586,0.7147,0.4335,-4.4992,3.4033,-0.7176
Household Products,0.4768,0.1364,0.3405,-0.1205,-6.0366,-1.8876,4.1721,-3.7887,-3.3277,-4.3551
Insurance,-0.5928,-0.3276,-0.2652,-0.0982,-5.3833,-6.3948,-0.8005,-0.6029,-3.682,-12.0731
Materials,-0.1566,0.0367,-0.1932,0.1161,2.1048,4.1823,1.1191,1.3868,-2.1168,4.4149
Real Estate,-2.3765,-1.2466,-1.1299,-0.035,-1.1763,-5.291,-0.1539,-4.0149,3.5152,-8.3211
Retailing,-2.8418,-1.7327,-1.1091,3.5957,1.0718,-1.4464,0.2761,-3.3484,12.0684,4.7079
Software & Services,-1.4992,-1.3232,-0.1761,0.173,-2.7016,-3.8002,-3.5515,-1.2482,11.7596,1.6604
Telecommunication Services,-3.0336,-1.8515,-1.1821,0.5656,-2.7319,-2.9885,3.0452,-2.9743,7.4372,1.486
Transportation,-5.5702,-5.8275,0.2573,-1.0966,-4.4529,-4.9839,1.3343,-7.3466,6.4774,-10.089
Utilities,-1.8259,-2.1111,0.2852,-0.9369,-2.4055,-4.6298,2.466,-6.0015,-1.6743,-11.6655
