symbol,sector,alpha,beta,n_obs,"CAR(-5,-1)","CAR(0,0)","CAR(0,+5)","CAR(-5,+30)"
TYRE.N0000,Automobiles,7.6e-05,0.2317,115,1.3977,-0.0594,-0.8832,-0.1149
HDFC.N0000,Banks,0.001136,1.012,115,-11.5193,0.5002,-1.9498,-18.3631
UBC.N0000,Banks,0.000993,0.955,115,-3.1613,1.0203,-2.6811,-9.427
ABL.N0000,Banks,0.001316,0.5722,115,-3.3836,1.7271,-5.3463,-8.8739
SDB.N0000,Banks,0.001432,1.3376,115,-2.6581,-1.2375,-7.6457,-8.0874
CBNK.N0000,Banks,-0.001034,0.6868,115,-1.8754,-0.0503,1.9546,-7.7551
SEYB.X0000,Banks,-0.000789,1.6342,115,-2.2555,-0.0251,-0.1852,-4.0149
SEYB.N0000,Banks,-0.000125,1.3089,115,0.5633,-0.7372,-0.1397,-3.9496
PABC.N0000,Banks,-0.00056,1.6104,115,1.0256,-0.7899,0.7143,-3.8943
DFCC.N0000,Banks,-0.001121,1.638,115,1.2241,-0.4119,0.2167,-3.8523
HNB.N0000,Banks,-0.000479,1.0795,115,-0.0291,0.0538,0.5145,0.5561
NDB.N0000,Banks,-0.001351,1.3763,115,1.7116,0.5073,0.4405,1.9676
COMB.N0000,Banks,-0.000377,1.2242,115,1.3458,-0.4762,-1.5898,2.4069
COMB.X0000,Banks,-0.00027,1.4162,115,2.5895,-0.0261,0.7029,3.6144
SAMP.N0000,Banks,-0.001124,1.1435,115,1.0735,0.1995,0.7605,5.9172
NTB.N0000,Banks,0.000945,1.0131,115,0.3272,-0.4041,1.4589,8.5178
HNB.X0000,Banks,-0.001532,1.1862,115,0.6819,-0.1124,2.1186,10.8731
DOCK.N0000,Capital Goods,0.018035,0.5597,113,-5.7966,1.2249,14.5343,-29.9312
LITE.N0000,Capital Goods,0.005462,0.382,114,-0.0482,3.7774,-8.556,-21.1892
RICH.N0000,Capital Goods,0.00375,0.5785,115,-12.0935,-1.2857,4.7422,-19.9352
SHL.N0000,Capital Goods,-0.001379,0.2636,115,-0.275,1.5941,-3.774,-12.5954
AFS.N0000,Capital Goods,0.004665,1.0555,115,-7.502,-0.7028,-2.7174,-10.4272
MEL.N0000,Capital Goods,-0.000188,1.8424,115,-0.3976,-2.6664,2.3488,-9.7659
RHL.X0000,Capital Goods,0.005481,1.1794,110,-2.6594,-1.6251,-7.6253,-9.5639
SIRA.N0000,Capital Goods,0.00362,1.1454,115,-3.1887,1.2684,3.62,-3.6702
LUMX.N0000,Capital Goods,0.000757,0.3078,115,-1.259,-4.6222,0.2155,-2.4445
HHL.N0000,Capital Goods,-0.000226,0.8619,115,2.9005,0.1097,2.0398,-2.1756
VONE.N0000,Capital Goods,0.000105,1.1904,115,-0.1328,0.6846,-3.2446,-1.8517
EBCR.N0000,Capital Goods,-0.000554,1.5017,115,1.443,-2.8487,1.007,-0.9191
RHL.N0000,Capital Goods,0.004722,1.2501,115,-1.8659,-0.5253,-8.6479,1.4271
JKH.N0000,Capital Goods,-0.001794,0.9891,115,0.596,-0.9349,-1.1019,3.0448
SPEN.N0000,Capital Goods,-0.001347,0.9053,115,2.3333,-1.318,-1.8481,3.1186
AEL.N0000,Capital Goods,0.00078,1.2861,115,6.2147,1.2055,9.2708,4.1446
CFLB.N0000,Capital Goods,-0.00048,0.7977,115,1.1826,0.117,0.524,4.2864
LCEY.N0000,Capital Goods,-0.000236,0.3415,112,-0.7791,2.5027,2.0073,6.0146
HAYL.N0000,Capital Goods,-0.000945,1.1167,115,1.5918,-0.1555,1.2005,8.1044
LWL.N0000,Capital Goods,-0.002106,0.9919,115,-0.9125,-0.0114,1.5321,8.2815
TILE.N0000,Capital Goods,-0.003097,1.2426,115,1.7634,0.4331,4.1072,8.4774
RCL.N0000,Capital Goods,-0.001092,1.0299,115,-0.5774,0.7878,3.6226,10.1684
BRWN.N0000,Capital Goods,-0.003711,1.0775,115,4.3434,0.1299,-0.9724,10.462
CSLK.N0000,Capital Goods,-0.003787,1.8522,115,5.605,1.3434,10.593,14.0866
CIND.N0000,Capital Goods,0.001243,0.7039,115,-3.0464,1.7636,12.2983,16.2657
KCAB.N0000,Capital Goods,0.002559,1.1377,115,1.7667,0.4995,10.3628,17.5669
ACL.N0000,Capital Goods,0.001333,0.9038,115,-1.1802,1.2662,14.6538,25.0753
