Name,N,Mean_CAR(%),t-statistic,p-value,Significant_at_5%
Transportation,3,-24.685263858661987,-1.6904581338509088,0.2330070582337434,False
Energy,3,-17.92619477070978,-1.187103939907217,0.35707324000810414,False
Retailing,14,-16.582242081269772,-0.779197285590661,0.44981605100727107,False
Insurance,13,-13.091825233262725,-4.61832780987096,0.0005918964968861842,True
Others,1,-13.084413604954504,,,False
Utilities,9,-11.665489531741697,-2.6997283153752862,0.0270854279181803,True
Consumer Services,33,-10.186320143520982,-6.825600686302504,1.0179973423566313e-07,True
Diversified Financials,39,-9.552391368363,-4.4362127167678125,7.587958144814893e-05,True
Materials,22,-4.899854181908087,-0.6880654221706473,0.4989422174700325,False
Real Estate,17,-4.692795770612931,-1.1809887930840217,0.2548655001992819,False
Household Products,1,-4.355073412578939,,,False
Food Retailing,4,-3.1457088550383467,-0.5294709432151411,0.6331575989514224,False
Consumer Durables,8,-3.070211423017798,-0.46463409875546385,0.65629933112856,False
Banks,17,-2.01943217855701,-1.1281267454018131,0.2758993015183372,False
Food & Beverage,45,-1.2668093288301812,-0.5184228239983476,0.6067607432786888,False
Automobiles,1,-0.11493304071173108,,,False
Capital Goods,30,0.2778684405432377,0.11455587195575896,0.9095866357539656,False
Healthcare Equipment,9,0.8397462425234891,0.2441277035329115,0.8132763422904237,False
Telecommunication Services,2,1.4859753374670843,0.5933887366428844,0.6590620398476797,False
Software & Services,1,1.6604449596644693,,,False
Commercial Services,7,3.1899240813643175,0.30413936788476514,0.7712937174724644,False
