Sector,Trough Day,Trough CAR (%),Recovery Day,Days to Recover,Note
Transportation,30,-18.27,>30,,Did not recover within +30 days
Retailing,26,-17.17,>30,,Did not recover within +30 days
Others,4,-13.83,20,16.0,Recovered within window
Energy,15,-12.15,>30,,Did not recover within +30 days
Insurance,30,-11.92,>30,,Did not recover within +30 days
Real Estate,25,-11.11,>30,,Did not recover within +30 days
Consumer Services,30,-10.71,>30,,Did not recover within +30 days
Food Retailing,26,-10.18,>30,,Did not recover within +30 days
Utilities,30,-9.84,>30,,Did not recover within +30 days
Diversified Financials,29,-8.93,>30,,Did not recover within +30 days
Software & Services,20,-8.6,25,5.0,Recovered within window
Commercial Services,26,-8.32,30,4.0,Recovered within window
Household Products,2,-6.04,6,4.0,Recovered within window
Healthcare Equipment,24,-4.54,26,2.0,Recovered within window
Telecommunication Services,23,-4.29,26,3.0,Recovered within window
Consumer Durables,18,-4.27,21,3.0,Recovered within window
Automobiles,26,-4.15,27,1.0,Recovered within window
Materials,25,-3.73,>30,,Did not recover within +30 days
Banks,23,-3.09,24,1.0,Recovered within window
Food & Beverage,8,-2.46,28,20.0,Recovered within window
Capital Goods,0,0.04,-,,Not significantly affected
