Window,Level,Name,N,Mean_CAR(%),Std_Dev(%),t-statistic,p-value,Significant_at_5%
"CAR(-5,-1)",Sector,Insurance,9,-0.26,1.82,-0.424,0.6827,False
"CAR(-5,-1)",Sector,Banks,10,-1.65,2.77,-1.888,0.0917,False
"CAR(-5,-1)",Sector,Diversified Financials,28,-0.89,2.86,-1.646,0.1114,False
"CAR(-5,-1)",Sector,Capital Goods,25,-1.66,4.23,-1.964,0.0613,False
"CAR(-5,-1)",Sector,Food & Beverage,29,-0.44,2.55,-0.929,0.361,False
"CAR(-5,-1)",Sector,Materials,13,-0.89,2.3,-1.398,0.1875,False
"CAR(-5,-1)",Sector,Consumer Services,18,1.51,5.2,1.229,0.236,False
"CAR(-5,-1)",Sector,Healthcare Equipment,7,-2.02,2.43,-2.2,0.0701,False
"CAR(-5,-1)",Sector,Real Estate,11,-2.88,4.16,-2.301,0.0442,True
"CAR(-5,-1)",Sector,Household Products,1,-0.79,,,,False
"CAR(-5,-1)",Sector,Commercial Services,3,-3.21,3.08,-1.804,0.213,False
"CAR(-5,-1)",Sector,Retailing,8,-1.61,4.61,-0.987,0.3566,False
"CAR(-5,-1)",Sector,Transportation,2,-5.9,2.17,-3.848,0.1618,False
"CAR(-5,-1)",Sector,Telecommunication Services,2,-3.53,0.61,-8.191,0.0773,False
"CAR(-5,-1)",Sector,Consumer Durables,6,0.56,1.82,0.747,0.4889,False
"CAR(-5,-1)",Sector,Software & Services,1,-1.26,,,,False
"CAR(-5,-1)",Sector,Utilities,5,0.77,4.14,0.419,0.6969,False
"CAR(-5,-1)",Sector,Energy,1,-0.7,,,,False
"CAR(-5,-1)",Sector,Automobiles,1,1.42,,,,False
"CAR(-5,-1)",Market,ALL STOCKS,180,-0.91,3.52,-3.468,0.0007,True
"CAR(0,0)",Sector,Insurance,9,-0.06,2.77,-0.066,0.9494,False
"CAR(0,0)",Sector,Banks,10,0.03,0.87,0.126,0.9022,False
"CAR(0,0)",Sector,Diversified Financials,28,-0.5,1.67,-1.582,0.1253,False
"CAR(0,0)",Sector,Capital Goods,25,0.13,1.76,0.382,0.7058,False
"CAR(0,0)",Sector,Food & Beverage,28,-0.36,2.02,-0.945,0.353,False
"CAR(0,0)",Sector,Materials,13,-0.0,1.3,-0.011,0.9918,False
"CAR(0,0)",Sector,Consumer Services,18,-0.82,1.92,-1.802,0.0894,False
"CAR(0,0)",Sector,Healthcare Equipment,7,0.2,2.38,0.226,0.8286,False
"CAR(0,0)",Sector,Real Estate,11,0.07,1.81,0.132,0.8976,False
"CAR(0,0)",Sector,Household Products,1,-0.08,,,,False
"CAR(0,0)",Sector,Commercial Services,3,-0.56,4.35,-0.222,0.8447,False
"CAR(0,0)",Sector,Retailing,8,3.65,7.29,1.415,0.2001,False
"CAR(0,0)",Sector,Transportation,2,-1.23,1.99,-0.875,0.5424,False
"CAR(0,0)",Sector,Telecommunication Services,2,0.36,3.79,0.135,0.9148,False
"CAR(0,0)",Sector,Consumer Durables,6,-0.29,1.38,-0.52,0.625,False
"CAR(0,0)",Sector,Software & Services,1,0.06,,,,False
"CAR(0,0)",Sector,Utilities,5,-0.86,0.91,-2.125,0.1008,False
"CAR(0,0)",Sector,Energy,1,0.05,,,,False
"CAR(0,0)",Sector,Automobiles,1,0.16,,,,False
"CAR(0,0)",Market,ALL STOCKS,179,-0.08,2.43,-0.415,0.6786,False
"CAR(0,+5)",Sector,Insurance,9,-5.68,6.92,-2.461,0.0393,True
"CAR(0,+5)",Sector,Banks,10,-0.76,3.78,-0.64,0.5382,False
"CAR(0,+5)",Sector,Diversified Financials,28,-1.88,4.1,-2.427,0.0222,True
"CAR(0,+5)",Sector,Capital Goods,25,-0.31,7.3,-0.214,0.8323,False
"CAR(0,+5)",Sector,Food & Beverage,29,-3.45,4.92,-3.772,0.0008,True
"CAR(0,+5)",Sector,Materials,13,2.26,3.71,2.195,0.0486,True
"CAR(0,+5)",Sector,Consumer Services,18,-6.5,5.26,-5.245,0.0001,True
"CAR(0,+5)",Sector,Healthcare Equipment,7,0.9,5.43,0.438,0.6765,False
"CAR(0,+5)",Sector,Real Estate,11,-2.08,8.72,-0.79,0.4477,False
"CAR(0,+5)",Sector,Household Products,1,-1.66,,,,False
"CAR(0,+5)",Sector,Commercial Services,3,2.51,5.44,0.8,0.5078,False
"CAR(0,+5)",Sector,Retailing,8,-1.32,8.42,-0.443,0.6711,False
"CAR(0,+5)",Sector,Transportation,2,-5.37,4.74,-1.602,0.3553,False
"CAR(0,+5)",Sector,Telecommunication Services,2,-1.98,3.41,-0.822,0.5621,False
"CAR(0,+5)",Sector,Consumer Durables,6,0.23,1.94,0.293,0.7811,False
"CAR(0,+5)",Sector,Software & Services,1,-2.26,,,,False
"CAR(0,+5)",Sector,Utilities,5,-1.64,2.83,-1.298,0.264,False
"CAR(0,+5)",Sector,Energy,1,-0.69,,,,False
"CAR(0,+5)",Sector,Automobiles,1,-0.66,,,,False
"CAR(0,+5)",Market,ALL STOCKS,180,-1.96,5.88,-4.478,0.0,True
"CAR(-5,+30)",Sector,Insurance,9,-5.86,8.28,-2.123,0.0665,False
"CAR(-5,+30)",Sector,Banks,10,-4.98,9.39,-1.678,0.1277,False
"CAR(-5,+30)",Sector,Diversified Financials,28,-4.77,11.96,-2.111,0.0442,True
"CAR(-5,+30)",Sector,Capital Goods,25,-3.07,12.68,-1.21,0.2382,False
"CAR(-5,+30)",Sector,Food & Beverage,29,-3.9,8.36,-2.51,0.0181,True
"CAR(-5,+30)",Sector,Materials,13,2.6,7.65,1.225,0.2441,False
"CAR(-5,+30)",Sector,Consumer Services,18,-6.59,10.26,-2.726,0.0144,True
"CAR(-5,+30)",Sector,Healthcare Equipment,7,-3.57,7.71,-1.225,0.2665,False
"CAR(-5,+30)",Sector,Real Estate,11,-10.93,17.42,-2.081,0.0641,False
"CAR(-5,+30)",Sector,Household Products,1,-1.22,,,,False
"CAR(-5,+30)",Sector,Commercial Services,3,-7.71,0.59,-22.462,0.002,True
"CAR(-5,+30)",Sector,Retailing,8,-4.25,13.0,-0.923,0.3865,False
"CAR(-5,+30)",Sector,Transportation,2,-18.65,1.87,-14.111,0.045,True
"CAR(-5,+30)",Sector,Telecommunication Services,2,-5.34,4.42,-1.711,0.3368,False
"CAR(-5,+30)",Sector,Consumer Durables,6,-1.04,7.4,-0.344,0.745,False
"CAR(-5,+30)",Sector,Software & Services,1,-7.41,,,,False
"CAR(-5,+30)",Sector,Utilities,5,-6.69,8.18,-1.829,0.1414,False
"CAR(-5,+30)",Sector,Energy,1,-2.09,,,,False
"CAR(-5,+30)",Sector,Automobiles,1,2.43,,,,False
"CAR(-5,+30)",Market,ALL STOCKS,180,-4.5,10.71,-5.63,0.0,True
