Sector,N,Median CAR(%),W-statistic,p-value,Significant
Consumer Durables,8,4.991797405457779,16.0,0.84375,False
Retailing,14,3.83626290297859,46.0,0.71484375,False
Capital Goods,30,2.235956479837515,215.0,0.7303419969975948,False
Software & Services,1,1.6604449596644693,,,False
Telecommunication Services,2,1.4859753374670843,1.0,1.0,False
Materials,22,1.3344843655511052,122.0,0.898735523223877,False
Healthcare Equipment,9,0.6327624605581408,22.0,1.0,False
Automobiles,1,-0.11493304071173108,,,False
Real Estate,17,-1.820793582068382,61.0,0.4873809814453125,False
Food & Beverage,45,-1.91673352982228,429.0,0.32383960095177144,False
Banks,17,-3.8522878564126706,54.0,0.3060455322265625,False
Household Products,1,-4.355073412578939,,,False
Food Retailing,4,-4.426912865094714,3.0,0.625,False
Diversified Financials,39,-8.859957463592941,123.0,9.093475819099694e-05,True
Consumer Services,33,-9.39385970101202,12.0,1.6298145055770874e-08,True
Transportation,3,-10.83916176103415,0.0,0.25,False
Utilities,9,-11.270446106914989,4.0,0.02734375,True
Commercial Services,7,-13.069049725682568,14.0,1.0,False
Others,1,-13.084413604954504,,,False
Insurance,13,-13.880741587428133,3.0,0.001220703125,True
Energy,3,-27.50444314905236,1.0,0.5,False
